##hsa	Homo sapiens (human)
##Method: BLAST	Options: evalue <= 1e-05
##Summary:	54 succeed, 104 fail

#Query	Gene ID|Gene name|Hyperlink
NTX4281	hsa:55207|ARL8B, ARL10C, Gie1|http://www.genome.jp/dbget-bin/www_bget?hsa:55207
NTX13418	hsa:2195|FAT1, CDHF7, CDHR8, FAT, ME5, hFat1|http://www.genome.jp/dbget-bin/www_bget?hsa:2195
NTX14137	None
NTX24145	hsa:70|ACTC1, ACTC, ASD5, CMD1R, CMH11, LVNC4|http://www.genome.jp/dbget-bin/www_bget?hsa:70
NTX28979	None
NTX38478	hsa:71|ACTG1, ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176|http://www.genome.jp/dbget-bin/www_bget?hsa:71
NTX41956	None
NTX41957	None
NTX41958	None
NTX41959	None
NTX42998	None
NTX43000	None
NTX49728	None
NTX51254	None
NTX56407	hsa:4925|NUCB2, HEL-S-109, NEFA|http://www.genome.jp/dbget-bin/www_bget?hsa:4925
NTX83486	None
NTX83904	None
NTX83905	None
NTX85997	None
NTX91175	None
NTX91255	None
NTX94322	hsa:3309|HSPA5, BIP, GRP78, HEL-S-89n, MIF2|http://www.genome.jp/dbget-bin/www_bget?hsa:3309
NTX98053	None
NTX102642	hsa:71|ACTG1, ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176|http://www.genome.jp/dbget-bin/www_bget?hsa:71
NTX104669	None
NTX112170	None
NTX132748	hsa:554313|HIST2H4B, H4/o|http://www.genome.jp/dbget-bin/www_bget?hsa:554313
NTX132749	hsa:554313|HIST2H4B, H4/o|http://www.genome.jp/dbget-bin/www_bget?hsa:554313
NTX134676	None
NTX134688	None
NTX135011	None
NTX135801	None
NTX136251	hsa:102|ADAM10, AD10, AD18, CD156c, CDw156, HsT18717, MADM, RAK, kuz|http://www.genome.jp/dbget-bin/www_bget?hsa:102
NTX142744	hsa:5648|MASP1, 3MC1, CRARF, CRARF1, MAP1, MASP, MASP3, MAp44, PRSS5, RaRF|http://www.genome.jp/dbget-bin/www_bget?hsa:5648
NTX144303	None
NTX148639	hsa:60|ACTB, BRWS1, PS1TP5BP1|http://www.genome.jp/dbget-bin/www_bget?hsa:60
NTX154016	None
NTX163968	None
NTX163969	None
NTX164951	None
NTX173892	hsa:71|ACTG1, ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176|http://www.genome.jp/dbget-bin/www_bget?hsa:71
NTX177486	hsa:11093|ADAMTS13, ADAM-TS13, ADAMTS-13, C9orf8, VWFCP, vWF-CP|http://www.genome.jp/dbget-bin/www_bget?hsa:11093
NTX177808	None
NTX178644	None
NTX178649	hsa:90411|MCFD2, F5F8D, F5F8D2, LMAN1IP, SDNSF|http://www.genome.jp/dbget-bin/www_bget?hsa:90411
NTX181117	None
NTX186740	hsa:7170|TPM3, CAPM1, CFTD, HEL-189, HEL-S-82p, NEM1, OK/SW-cl.5, TM-5, TM3, TM30, TM30nm, TM5, TPMsk3, TRK, hscp30|http://www.genome.jp/dbget-bin/www_bget?hsa:7170
NTX189949	hsa:726|CAPN5, ADNIV, HTRA3, VRNI, nCL-3|http://www.genome.jp/dbget-bin/www_bget?hsa:726
NTX201404	None
NTX212167	hsa:51121|RPL26L1, RPL26P1|http://www.genome.jp/dbget-bin/www_bget?hsa:51121
NTX213008	None
NTX213988	hsa:653604|HIST2H3D|http://www.genome.jp/dbget-bin/www_bget?hsa:653604
NTX214579	hsa:347733|TUBB2B, PMGYSA, bA506K6.1|http://www.genome.jp/dbget-bin/www_bget?hsa:347733
NTX218921	None
NTX223142	None
NTX224320	None
NTX224662	None
NTX226741	hsa:8340|HIST1H2BL, H2B/c, H2BFC, dJ97D16.4|http://www.genome.jp/dbget-bin/www_bget?hsa:8340
NTX227449	hsa:6189|RPS3A, FTE1, MFTL, S3A|http://www.genome.jp/dbget-bin/www_bget?hsa:6189
NTX235909	hsa:5034|P4HB, CLCRP1, DSI, ERBA2L, GIT, P4Hbeta, PDI, PDIA1, PHDB, PO4DB, PO4HB, PROHB|http://www.genome.jp/dbget-bin/www_bget?hsa:5034
NTX235912	hsa:5034|P4HB, CLCRP1, DSI, ERBA2L, GIT, P4Hbeta, PDI, PDIA1, PHDB, PO4DB, PO4HB, PROHB|http://www.genome.jp/dbget-bin/www_bget?hsa:5034
NTX248037	hsa:805|CALM2, CAMII, LQT15, PHKD, PHKD2, caM|http://www.genome.jp/dbget-bin/www_bget?hsa:805
NTX249700	None
NTX249702	None
NTX258811	hsa:60|ACTB, BRWS1, PS1TP5BP1|http://www.genome.jp/dbget-bin/www_bget?hsa:60
NTX260492	hsa:1506|CTRL, CTRL1|http://www.genome.jp/dbget-bin/www_bget?hsa:1506
NTX262119	None
NTX270040	hsa:2597|GAPDH, G3PD, GAPD, HEL-S-162eP|http://www.genome.jp/dbget-bin/www_bget?hsa:2597
NTX271896	None
NTX283712	hsa:3854|KRT6B, CK-6B, CK6B, K6B, KRTL1, PC2, PC4|http://www.genome.jp/dbget-bin/www_bget?hsa:3854
NTX287294	None
NTX305063	None
NTX311050	None
NTX311249	None
NTX311250	None
NTX312243	None
NTX315967	None
NTX317140	hsa:5651|TMPRSS15, ENTK, PRSS7|http://www.genome.jp/dbget-bin/www_bget?hsa:5651
NTX323335	None
NTX324164	hsa:10383|TUBB4B, Beta2, TUBB2, TUBB2C|http://www.genome.jp/dbget-bin/www_bget?hsa:10383
NTX333875	None
NTX334429	hsa:5986|RFNG|http://www.genome.jp/dbget-bin/www_bget?hsa:5986
NTX334555	None
NTX334743	None
NTX335822	hsa:3998|LMAN1, ERGIC-53, ERGIC53, F5F8D, FMFD1, MCFD1, MR60, gp58|http://www.genome.jp/dbget-bin/www_bget?hsa:3998
NTX336196	hsa:8345|HIST1H2BH, H2B/j, H2BFJ|http://www.genome.jp/dbget-bin/www_bget?hsa:8345
NTX352134	hsa:8708|B3GALT1, beta3Gal-T1|http://www.genome.jp/dbget-bin/www_bget?hsa:8708
NTX359850	None
