ID	GeneID	GeneName	Hyperlink
NTX28660	hsa:140606	SELM, SEPM	http://www.genome.jp/dbget-bin/www_bget?hsa:140606
NTX31230	hsa:71	ACTG1, ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176	http://www.genome.jp/dbget-bin/www_bget?hsa:71
NTX47106	hsa:8340	HIST1H2BL, H2B/c, H2BFC, dJ97D16.4	http://www.genome.jp/dbget-bin/www_bget?hsa:8340
NTX71945	hsa:5986	RFNG	http://www.genome.jp/dbget-bin/www_bget?hsa:5986
NTX88065	hsa:3998	LMAN1, ERGIC-53, ERGIC53, F5F8D, FMFD1, MCFD1, MR60, gp58	http://www.genome.jp/dbget-bin/www_bget?hsa:3998
NTX125871	hsa:5648	MASP1, 3MC1, CRARF, CRARF1, MAP1, MASP, MASP3, MAp44, PRSS5, RaRF	http://www.genome.jp/dbget-bin/www_bget?hsa:5648
NTX128016	hsa:554313	HIST2H4B, H4/o	http://www.genome.jp/dbget-bin/www_bget?hsa:554313
NTX132288	hsa:51121	RPL26L1, RPL26P1	http://www.genome.jp/dbget-bin/www_bget?hsa:51121
NTX140023	hsa:341350	OVCH1, OVCH	http://www.genome.jp/dbget-bin/www_bget?hsa:341350
NTX148033	hsa:71	ACTG1, ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176	http://www.genome.jp/dbget-bin/www_bget?hsa:71
NTX148034	hsa:60	ACTB, BRWS1, PS1TP5BP1	http://www.genome.jp/dbget-bin/www_bget?hsa:60
NTX163648	hsa:653604	HIST2H3D	http://www.genome.jp/dbget-bin/www_bget?hsa:653604
NTX171596	hsa:5126	PCSK2, NEC_2, NEC-2, NEC2, PC2, SPC2	http://www.genome.jp/dbget-bin/www_bget?hsa:5126
NTX176309	hsa:10975	UQCR11, 0710008D09Rik, QCR10, UQCR	http://www.genome.jp/dbget-bin/www_bget?hsa:10975
NTX185134	hsa:4925	NUCB2, HEL-S-109, NEFA	http://www.genome.jp/dbget-bin/www_bget?hsa:4925
NTX194818	hsa:71	ACTG1, ACT, ACTG, BRWS2, DFNA20, DFNA26, HEL-176	http://www.genome.jp/dbget-bin/www_bget?hsa:71
NTX199625	hsa:726	CAPN5, ADNIV, HTRA3, VRNI, nCL-3	http://www.genome.jp/dbget-bin/www_bget?hsa:726
NTX200588	hsa:7170	TPM3, CAPM1, CFTD, HEL-189, HEL-S-82p, NEM1, OK/SW-cl.5, TM-5, TM3, TM30, TM30nm, TM5, TPMsk3, TRK, hscp30	http://www.genome.jp/dbget-bin/www_bget?hsa:7170
NTX216840	hsa:1363	CPE, CPH	http://www.genome.jp/dbget-bin/www_bget?hsa:1363
NTX231624	hsa:5651	TMPRSS15, ENTK, PRSS7	http://www.genome.jp/dbget-bin/www_bget?hsa:5651
NTX255262	hsa:6189	RPS3A, FTE1, MFTL, S3A	http://www.genome.jp/dbget-bin/www_bget?hsa:6189
