ID	Cmax	Cpos	Ymax	Ypos	Smax	Spos	Smean	D	isSignal	Dmaxcut	Networks-used
NTX8676	0.109	28	0.107	28	0.159	13	0.103	0.104	N	0.450	SignalP-noTM
NTX10118	0.108	57	0.104	12	0.109	16	0.102	0.103	N	0.450	SignalP-noTM
NTX18257	0.667	22	0.690	22	0.764	9	0.713	0.702	Y	0.450	SignalP-noTM
NTX28573	0.110	27	0.120	15	0.181	13	0.147	0.134	N	0.450	SignalP-noTM
NTX33336	0.369	26	0.444	26	0.660	25	0.484	0.460	N	0.500	SignalP-TM
NTX39498	0.107	33	0.104	33	0.113	21	0.100	0.102	N	0.450	SignalP-noTM
NTX40047	0.161	51	0.167	48	0.233	47	0.129	0.152	N	0.500	SignalP-TM
NTX40109	0.803	24	0.857	24	0.960	18	0.916	0.889	Y	0.450	SignalP-noTM
NTX40745	0.406	32	0.376	32	0.506	28	0.294	0.343	N	0.500	SignalP-TM
NTX47957	0.259	42	0.222	42	0.445	38	0.154	0.186	N	0.450	SignalP-noTM
NTX62360	0.445	39	0.407	39	0.647	37	0.218	0.331	N	0.500	SignalP-TM
NTX63885	0.528	23	0.692	23	0.957	13	0.906	0.808	Y	0.450	SignalP-noTM
NTX67304	0.130	43	0.128	43	0.167	38	0.118	0.122	N	0.450	SignalP-noTM
NTX67305	0.125	41	0.130	41	0.197	35	0.125	0.127	N	0.450	SignalP-noTM
NTX67306	0.134	41	0.133	41	0.186	35	0.123	0.127	N	0.450	SignalP-noTM
NTX84211	0.281	39	0.209	11	0.545	1	0.386	0.280	N	0.500	SignalP-TM
NTX91856	0.114	28	0.104	70	0.109	61	0.095	0.099	N	0.450	SignalP-noTM
NTX100922	0.107	45	0.103	61	0.144	42	0.095	0.099	N	0.450	SignalP-noTM
NTX101667	0.124	42	0.144	42	0.245	36	0.141	0.143	N	0.500	SignalP-TM
NTX104296	0.804	19	0.852	19	0.939	12	0.909	0.883	Y	0.450	SignalP-noTM
NTX104582	0.112	38	0.106	38	0.113	26	0.096	0.101	N	0.450	SignalP-noTM
NTX116913	0.111	63	0.104	63	0.111	26	0.096	0.100	N	0.450	SignalP-noTM
NTX119593	0.385	31	0.316	31	0.664	30	0.208	0.273	N	0.500	SignalP-TM
NTX126348	0.109	23	0.108	31	0.118	20	0.103	0.105	N	0.450	SignalP-noTM
NTX129833	0.109	38	0.103	68	0.111	14	0.096	0.099	N	0.450	SignalP-noTM
NTX142913	0.109	66	0.104	66	0.118	54	0.095	0.099	N	0.450	SignalP-noTM
NTX145254	0.107	5	0.109	41	0.122	21	0.101	0.104	N	0.450	SignalP-noTM
NTX145849	0.267	25	0.266	25	0.455	2	0.280	0.274	N	0.450	SignalP-noTM
NTX146224	0.696	29	0.802	29	0.989	16	0.929	0.871	Y	0.450	SignalP-noTM
NTX146969	0.394	33	0.337	33	0.595	31	0.226	0.292	N	0.500	SignalP-TM
NTX149434	0.314	23	0.413	23	0.807	8	0.544	0.484	Y	0.450	SignalP-noTM
NTX151732	0.132	12	0.181	12	0.373	11	0.269	0.228	N	0.450	SignalP-noTM
